"sep=	"
Shimmer_85E7_Timestamp_Shimmer_CAL	Shimmer_85E7_EMG_CH1_24BIT_CAL	
Ticks	mV	
492184.02099609375	-1.7304623203033989	
492203.55224609375	-1.7326500097095978	
492223.08349609375	-1.7293324147859115	
492242.61474609375	-1.72736109026604	
492262.14599609375	-1.7222164140800333	
492281.67724609375	-1.7179612379822617	
492301.20849609375	-1.7186343731841691	
492320.73974609375	-1.7179612379822617	
492340.27099609375	-1.7140185889425186	
492359.80224609375	-1.7110135210768607	
492379.33349609375	-1.7097393723018217	
492398.86474609375	-1.7075276423526973	
492418.39599609375	-1.7055082367469752	
492437.92724609375	-1.7027676148534951	
492457.45849609375	-1.7030561013685983	
492476.98974609375	-1.703392668969552	
492496.52099609375	-1.6984883982127983	
492516.05224609375	-1.6988490063566772	
492535.58349609375	-1.696997884551432	
492555.11474609375	-1.6979595062684425	
492574.64599609375	-1.7013251822779794	
492594.17724609375	-1.698560519841574	
492613.70849609375	-1.6962045466348983	
492633.23974609375	-1.6976950602962646	
492652.77099609375	-1.696997884551432	
492672.30224609375	-1.6925984651961088	
492691.83349609375	-1.6929109922541372	
492711.36474609375	-1.6963728304353751	
492730.89599609375	-1.6899780460172549	
492750.42724609375	-1.680409909933	
492769.95849609375	-1.6811070856778327	
492789.48974609375	-1.6791357611579611	
492809.02099609375	-1.68086668024858	
492828.55224609375	-1.6823331533670212	
492848.08349609375	-1.6835351805132843	
492867.61474609375	-1.6866604510935685	
492887.14599609375	-1.6890645053860949	
492906.67724609375	-1.6864921672930917	
492926.20849609375	-1.683775585942537	
492945.73974609375	-1.6863479240355401	
492965.27099609375	-1.6904107757899096	
492984.80224609375	-1.6852901401468285	
493004.33349609375	-1.6875739917247286	
493023.86474609375	-1.6842563968010422	
493043.39599609375	-1.684785288745398	
493062.92724609375	-1.6822129506523948	
493082.45849609375	-1.6757460446054988	
493101.98974609375	-1.673390071398823	
493121.52099609375	-1.6586051374997859	
493141.05224609375	-1.649565893359887	
493160.58349609375	-1.6750729094035914	
493180.11474609375	-1.685145896889277	
493199.64599609375	-1.5485475319879292	
493219.17724609375	-1.7546230659432887	
493238.70849609375	-1.7244041034862325	
493258.23974609375	-1.5727563587136697	
493277.77099609375	-1.5873008871834542	
493297.30224609375	-1.5420085043122576	
493316.83349609375	-1.524723353948993	
493336.36474609375	-1.583454400315412	
493355.89599609375	-1.5416478961683786	
493375.42724609375	-1.5616015467963473	
493394.95849609375	-1.5719149397112855	
493414.48974609375	-1.5991528748456092	
493434.02099609375	-1.626414850522858	
493453.55224609375	-1.5888154413877458	
493473.08349609375	-1.577348102412395	
493492.61474609375	-1.6163418630371726	
493512.14599609375	-1.5801608459346508	
493531.67724609375	-1.6075670648694513	
493551.20849609375	-1.6117741598813724	
493570.73974609375	-1.59742195575499	
493590.27099609375	-1.591580103824151	
493609.80224609375	-1.6222798771397127	
493629.33349609375	-1.6190584443877274	
493648.86474609375	-1.6053072538344766	
493668.39599609375	-1.6015809696810608	
493687.92724609375	-1.5937197121444995	
493707.45849609375	-1.5865796708956963	
493726.98974609375	-1.580809940593633	
493746.52099609375	-1.5625872090562831	
493766.05224609375	-1.5540287757748894	
493785.58349609375	-1.5429941665721933	
493805.11474609375	-1.5382822201588418	
493824.64599609375	-1.5259734621811067	
493844.17724609375	-1.5251560837216478	
493863.70849609375	-1.537753328214486	
493883.23974609375	-1.5423450719132112	
493902.77099609375	-1.5557116137796578	
493922.30224609375	-1.5670106689545316	
493941.83349609375	-1.5988643883305058	
493961.36474609375	-1.58371884628759	
493980.89599609375	-1.7067823855220141	
494000.42724609375	-1.7680136483526605	
494019.95849609375	-1.4709446594251783	
494039.48974609375	-1.5284736786453341	
494059.02099609375	-1.6582926104417575	
494078.55224609375	-1.4520247521429959	
494098.08349609375	-1.5960756853511753	
494117.61474609375	-1.5941524419171542	
494137.14599609375	-1.6080959568138071	
494156.67724609375	-1.6187699578726242	
494176.20849609375	-1.6136974033153935	
494195.73974609375	-1.6072064567255724	
